timestamp,roll_deg,pitch_deg,yaw_deg,rollspeed_dps,pitchspeed_dps,yawspeed_dps,ch1_roll,ch2_pitch,ch3_throttle,ch4_yaw,ch5,ch6,ch7,ch8,armed
2026-04-25T19:34:07.152,34.597,-2.067,332.461,-46.05,-5.116,-8.401,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.251,31.149,-3.322,331.507,-38.824,-10.038,-4.572,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.252,31.149,-3.322,331.507,-38.824,-10.038,-4.572,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.351,25.649,-3.626,330.662,-62.768,-5.138,-8.825,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.352,25.649,-3.626,330.662,-62.768,-5.138,-8.825,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.448,19.459,-3.508,329.586,-64.939,2.27,-11.966,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.449,19.459,-3.508,329.586,-64.939,2.27,-11.966,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.548,13.002,-2.618,328.313,-62.501,4.246,-17.122,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.549,13.002,-2.618,328.313,-62.501,4.246,-17.122,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.648,8.224,-2.369,326.819,-39.438,0.68,-16.827,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.649,8.224,-2.369,326.819,-39.438,0.68,-16.827,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.747,5.15,-1.854,325.761,-20.484,7.063,-6.813,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.748,5.15,-1.854,325.761,-20.484,7.063,-6.813,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.847,3.31,-0.235,325.63,-28.825,27.263,3.183,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.848,3.31,-0.235,325.63,-28.825,27.263,3.183,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.948,-1.83,3.129,325.547,-75.049,39.427,-5.272,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:07.948,-1.83,3.129,325.547,-75.049,39.427,-5.272,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.047,-1.83,3.129,325.547,-75.049,39.427,-5.272,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.048,-11.885,6.377,323.957,-113.005,28.215,-13.663,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.048,-11.885,6.377,323.957,-113.005,28.215,-13.663,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.147,-22.378,8.825,321.868,-80.792,30.151,-9.3,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.148,-22.378,8.825,321.868,-80.792,30.151,-9.3,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.246,-28.536,12.506,319.319,-27.461,42.028,-6.644,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.247,-28.536,12.506,319.319,-27.461,42.028,-6.644,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.346,-29.964,15.856,317.97,-3.253,23.191,13.604,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.347,-29.964,15.856,317.97,-3.253,23.191,13.604,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.446,-30.2,17.763,318.664,-9.156,6.714,8.76,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.447,-30.2,17.763,318.664,-9.156,6.714,8.76,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.546,-30.131,19.696,318.985,13.172,24.237,14.614,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.547,-30.131,19.696,318.985,13.172,24.237,14.614,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.646,-25.85,22.588,319.837,57.707,9.168,21.228,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.647,-25.85,22.588,319.837,57.707,9.168,21.228,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.748,-17.75,22.543,321.859,78.001,-22.901,17.114,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.749,-17.75,22.543,321.859,78.001,-22.901,17.114,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.846,-9.664,18.305,325.442,67.517,-79.767,28.35,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.846,-9.664,18.305,325.442,67.517,-79.767,28.35,0,0,0,0,0,0,0,0,1
2026-04-25T19:34:08.945,-2.745,10.075,329.672,42.05,-72.996,29.531,0,0,0,0,0,0,0,0,1
